experiment,experiment_label,condition_id,condition_label,delay_family,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,505000,5000,4,90,-238.24181866645813,-200.88484358787537,2.6471313185162013,3.7356975078582764,2.041294574737549,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,506000,6000,0,90,-313.04837560653687,-254.98058652877808,3.4783152845170764,5.806778907775879,2.090428113937378,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,506000,6000,1,90,-271.26267898082733,-221.40266406536102,3.014029766453637,4.986001491546631,1.9421707391738892,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,506000,6000,2,90,-305.6323142051697,-249.621648311615,3.395914602279663,5.601066589355469,2.139406442642212,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,506000,6000,3,90,-237.72447776794434,-195.27746391296387,2.641383086310493,4.244701385498047,1.7112747430801392,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,506000,6000,4,90,-301.15640914440155,-244.72946918010712,3.346182323826684,5.642693996429443,1.9866894483566284,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,507000,7000,0,90,-233.83690702915192,-194.62089407444,2.5981878558794658,3.9216012954711914,1.726640224456787,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,507000,7000,1,90,-243.34356081485748,-203.43470585346222,2.7038173423873055,3.9908854961395264,1.8551706075668335,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,507000,7000,2,90,-247.07601988315582,-207.71448576450348,2.7452891098128425,3.9361534118652344,1.9624336957931519,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,507000,7000,3,90,-256.08687818050385,-214.96192872524261,2.845409757561154,4.112494945526123,1.9797756671905518,0.0
