experiment,experiment_label,condition_id,condition_label,delay_family,variant,variant_label,delay_label,train_steps,metric,iqm,q1,q3,n
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",7000,true_return,-179.3180249532064,-182.62871408462524,-176.79421520233154,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",8000,true_return,-181.29376828670502,-187.5661280155182,-177.80816233158112,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",9000,true_return,-113.55824123819669,-124.0366003215313,-106.27192583680153,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",10000,true_return,-117.71691754708688,-123.46652344614267,-108.88974604010582,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",1000,true_return,-117.12107290824254,-123.41566860675812,-113.25875973701477,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",2000,true_return,-233.39585510889688,-250.9060094356537,-222.41075229644775,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",3000,true_return,-101.03411608934402,-104.52184742689133,-98.14872670173645,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",4000,true_return,-126.2903933574756,-140.34214478731155,-118.45191693305969,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",5000,true_return,-113.05473069349925,-114.07753175497055,-112.48350441455841,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",6000,true_return,-127.61629831790924,-129.1059905588627,-126.5525848865509,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",7000,true_return,-174.80231449007988,-186.13307133316994,-165.5117339193821,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",8000,true_return,-140.8829482446114,-144.9441685974598,-137.66323433816433,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",9000,true_return,-170.32157657916346,-177.18645851314068,-166.17280369997025,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",10000,true_return,-150.00494027137756,-154.00475245714188,-146.9282512664795,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",1000,true_return,-333.7240312099457,-346.69915890693665,-312.4342894554138,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",2000,true_return,-240.50570368766785,-244.04448652267456,-238.19579100608826,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",3000,true_return,-123.81017161284883,-127.75706751272082,-117.36323601007462,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",4000,true_return,-55.85495997220278,-57.76961574703455,-53.85486222803593,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",5000,true_return,-137.3279556632042,-224.37628161907196,-81.30338650941849,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",6000,true_return,-49.83728754023711,-50.88917940855026,-48.77220079302788,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",7000,true_return,-47.02905504653851,-49.94989377260208,-41.759412191808224,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",8000,true_return,-38.88399912044406,-40.979790180921555,-35.53003714233637,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",9000,true_return,-41.023593824356794,-41.328049533069134,-40.518508952111006,5
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",10000,true_return,-38.99209214001894,-39.869624361395836,-38.55286704748869,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",1000,mean_distance,2.011977090217449,1.9855585190984937,2.0627174509896173,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",2000,mean_distance,2.4303112798266944,2.3470258394877117,2.5270300759209525,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",3000,mean_distance,2.0659695272092464,2.044786800278558,2.0859654823939007,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",4000,mean_distance,1.9666765168861107,1.9376439889272055,2.013252682156033,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",5000,mean_distance,2.2785910562232687,2.230829890569051,2.3581183592478436,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",6000,mean_distance,2.3300805559864752,2.2372229364183216,2.4273885038163927,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",7000,mean_distance,2.230896985972369,2.1676193051868013,2.3240097787645126,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",8000,mean_distance,1.8114246823169566,1.7160547653834024,1.9265192959043715,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",9000,mean_distance,1.9927002663965576,1.901822359032101,2.0979488518502976,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10000,mean_distance,2.185409043894874,2.126647639274597,2.26178527408176,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",1000,mean_distance,1.6998351512131868,1.6571180846956042,1.7652712186177573,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",2000,mean_distance,1.9237126518178869,1.8443447523646885,1.991644193066491,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",3000,mean_distance,1.552269728316201,1.5494443787468803,1.554312876198027,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",4000,mean_distance,2.148845926920573,2.1301656352149116,2.1666968862215676,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",5000,mean_distance,2.6909718208842808,2.6471313185162013,2.7224552671114606,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",6000,mean_distance,3.2520422308533274,3.014029766453637,3.395914602279663,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",7000,mean_distance,2.6942279515443026,2.6335774024327594,2.7452891098128425,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",8000,mean_distance,2.45479373048853,2.416171685854594,2.488145597775777,5
