experiment,experiment_label,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,504000,4000,3,90,-188.28086268901825,-165.8415664434433,2.0920095854335363,2.243929624557495,1.9802643060684204,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,504000,4000,4,90,-198.73918461799622,-176.13831210136414,2.2082131624221804,2.260087251663208,2.162660598754883,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,505000,5000,0,90,-220.19824886322021,-192.17951202392578,2.446647209591336,2.8018736839294434,2.0702810287475586,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,505000,5000,1,90,-234.2459225654602,-204.48005199432373,2.602732472949558,2.9765870571136475,2.1851909160614014,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,505000,5000,2,90,-221.9177258014679,-193.51887822151184,2.465752508905199,2.8398847579956055,2.0260818004608154,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,505000,5000,3,90,-244.34885430335999,-213.5448591709137,2.714987270037333,3.080399513244629,2.2712032794952393,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,505000,5000,4,90,-226.27804684638977,-197.93138670921326,2.514200520515442,2.8346660137176514,2.1229751110076904,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,506000,6000,0,90,-247.2598683834076,-215.8183467388153,2.747331870926751,3.1441521644592285,2.2637875080108643,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,506000,6000,1,90,-238.56732892990112,-207.3358564376831,2.6507480992211234,3.1231472492218018,2.1171886920928955,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,506000,6000,2,90,-251.0496621131897,-219.55951023101807,2.7894406901465523,3.149015188217163,2.3470420837402344,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,506000,6000,3,90,-212.70540940761566,-184.57200276851654,2.3633934378623964,2.813340663909912,1.8985873460769653,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,506000,6000,4,90,-235.62185859680176,-205.81878280639648,2.6180206510755752,2.9803075790405273,2.1708176136016846,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,511000,1000,0,90,-199.48098862171173,-174.49199879169464,2.2164554291301304,2.498898983001709,1.9384881258010864,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,511000,1000,1,90,-200.12717473506927,-175.39083468914032,2.223635274834103,2.4736340045928955,1.9281643629074097,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,511000,1000,2,90,-216.0856614112854,-189.7699580192566,2.400951793458727,2.631570339202881,2.1688320636749268,0.0
